gameId,seed,gridSize,mode,domainPairing,split,puzzleIndex,anchor_id,anchor_domain,anchor_class,anchor_url,noGood,selectedPosition,selected_id,selected_domain,selected_class,selected_url,durationMs,reviewFlag,playerNote,options,selection_rank,n_selections,picked_at
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,1,art_painting/horse/0052,art_painting,horse,./pacs/art_painting/horse/0052.jpg,false,5,art_painting/horse/0178,art_painting,horse,./pacs/art_painting/horse/0178.jpg,16456,false,,1:art_painting/horse/0132|2:art_painting/horse/0194|3:art_painting/horse/0192|4:art_painting/horse/0024|5:art_painting/horse/0178|6:art_painting/horse/0126|7:art_painting/horse/0059|8:art_painting/horse/0104|9:art_painting/horse/0060,1,1,2026-08-25T18:39:43.676Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,2,art_painting/house/0205,art_painting,house,./pacs/art_painting/house/0205.jpg,false,5,art_painting/house/0059,art_painting,house,./pacs/art_painting/house/0059.jpg,17166,false,,1:art_painting/house/0131|2:art_painting/house/0216|3:art_painting/house/0291|4:art_painting/house/0221|5:art_painting/house/0059|6:art_painting/house/0036|7:art_painting/house/0064|8:art_painting/house/0154|9:art_painting/house/0125,1,1,2026-08-25T18:40:01.941Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,3,cartoon/dog/0382,cartoon,dog,./pacs/cartoon/dog/0382.jpg,false,8,cartoon/dog/0072,cartoon,dog,./pacs/cartoon/dog/0072.jpg,8168,false,,1:cartoon/dog/0216|2:cartoon/dog/0366|3:cartoon/dog/0274|4:cartoon/dog/0007|5:cartoon/dog/0016|6:cartoon/dog/0278|7:cartoon/dog/0378|8:cartoon/dog/0072|9:cartoon/dog/0065,1,1,2026-08-25T18:40:06.020Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,4,photo/elephant/0093,photo,elephant,./pacs/photo/elephant/0093.jpg,false,9,photo/elephant/0041,photo,elephant,./pacs/photo/elephant/0041.jpg,5812,false,,1:photo/elephant/0120|2:photo/elephant/0104|3:photo/elephant/0141|4:photo/elephant/0135|5:photo/elephant/0188|6:photo/elephant/0086|7:photo/elephant/0007|8:photo/elephant/0168|9:photo/elephant/0041,1,1,2026-08-25T18:40:14.246Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,5,photo/horse/0188,photo,horse,./pacs/photo/horse/0188.jpg,false,9,photo/horse/0094,photo,horse,./pacs/photo/horse/0094.jpg,10465,false,,1:photo/horse/0030|2:photo/horse/0031|3:photo/horse/0132|4:photo/horse/0072|5:photo/horse/0173|6:photo/horse/0063|7:photo/horse/0020|8:photo/horse/0082|9:photo/horse/0094,1,1,2026-08-25T18:40:20.570Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,6,sketch/dog/0397,sketch,dog,./pacs/sketch/dog/0397.jpg,false,1,sketch/dog/0463,sketch,dog,./pacs/sketch/dog/0463.jpg,6134,false,,1:sketch/dog/0463|2:sketch/dog/0690|3:sketch/dog/0478|4:sketch/dog/0502|5:sketch/dog/0663|6:sketch/dog/0582|7:sketch/dog/0330|8:sketch/dog/0078|9:sketch/dog/0395,1,1,2026-08-25T18:40:32.723Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,7,sketch/giraffe/0305,sketch,giraffe,./pacs/sketch/giraffe/0305.jpg,false,4,sketch/giraffe/0616,sketch,giraffe,./pacs/sketch/giraffe/0616.jpg,6745,false,,1:sketch/giraffe/0037|2:sketch/giraffe/0180|3:sketch/giraffe/0272|4:sketch/giraffe/0616|5:sketch/giraffe/0528|6:sketch/giraffe/0275|7:sketch/giraffe/0285|8:sketch/giraffe/0314|9:sketch/giraffe/0038,1,1,2026-08-25T18:40:37.386Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,8,art_painting/giraffe/0135,art_painting,giraffe,./pacs/art_painting/giraffe/0135.jpg,false,7,art_painting/giraffe/0015,art_painting,giraffe,./pacs/art_painting/giraffe/0015.jpg,7976,false,,1:art_painting/giraffe/0064|2:art_painting/giraffe/0053|3:art_painting/giraffe/0103|4:art_painting/giraffe/0193|5:art_painting/giraffe/0153|6:art_painting/giraffe/0087|7:art_painting/giraffe/0015|8:art_painting/giraffe/0079|9:art_painting/giraffe/0065,1,1,2026-08-25T18:40:46.892Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,9,art_painting/dog/0098,art_painting,dog,./pacs/art_painting/dog/0098.jpg,false,1,art_painting/dog/0197,art_painting,dog,./pacs/art_painting/dog/0197.jpg,14437,false,,1:art_painting/dog/0197|2:art_painting/dog/0233|3:art_painting/dog/0374|4:art_painting/dog/0335|5:art_painting/dog/0315|6:art_painting/dog/0077|7:art_painting/dog/0221|8:art_painting/dog/0085|9:art_painting/dog/0297,1,1,2026-08-25T18:41:02.127Z
33473b13-3170-498a-956f-32c3b0e63211,3490903131,3,cross_domain,same_domain,train,10,art_painting/elephant/0168,art_painting,elephant,./pacs/art_painting/elephant/0168.jpg,false,7,art_painting/elephant/0008,art_painting,elephant,./pacs/art_painting/elephant/0008.jpg,12263,false,,1:art_painting/elephant/0218|2:art_painting/elephant/0111|3:art_painting/elephant/0191|4:art_painting/elephant/0117|5:art_painting/elephant/0114|6:art_painting/elephant/0012|7:art_painting/elephant/0008|8:art_painting/elephant/0252|9:art_painting/elephant/0164,1,1,2026-08-25T18:41:11.891Z
