gameId,seed,gridSize,mode,domainPairing,split,puzzleIndex,anchor_id,anchor_domain,anchor_class,anchor_url,noGood,selectedPosition,selected_id,selected_domain,selected_class,selected_url,durationMs,reviewFlag,playerNote,options,selection_rank,n_selections,picked_at
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,1,art_painting/horse/0142,art_painting,horse,/pacs/art_painting/horse/0142.jpg,false,1,sketch/horse/0009,sketch,horse,/pacs/sketch/horse/0009.jpg,17466,false,,1:sketch/horse/0009|2:sketch/horse/0072|3:sketch/horse/0804|4:sketch/horse/0560|5:sketch/horse/0433|6:sketch/horse/0353|7:sketch/horse/0776|8:sketch/horse/0683|9:sketch/horse/0420,1,1,2026-07-14T11:51:40.787Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,2,art_painting/house/0008,art_painting,house,/pacs/art_painting/house/0008.jpg,false,5,sketch/house/0007,sketch,house,/pacs/sketch/house/0007.jpg,1883,false,,1:sketch/house/0038|2:sketch/house/0067|3:sketch/house/0014|4:sketch/house/0049|5:sketch/house/0007|6:sketch/house/0029|7:sketch/house/0041|8:sketch/house/0039|9:sketch/house/0026,1,2,2026-07-14T11:51:42.740Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,2,art_painting/house/0008,art_painting,house,/pacs/art_painting/house/0008.jpg,false,3,sketch/house/0014,sketch,house,/pacs/sketch/house/0014.jpg,1883,false,,1:sketch/house/0038|2:sketch/house/0067|3:sketch/house/0014|4:sketch/house/0049|5:sketch/house/0007|6:sketch/house/0029|7:sketch/house/0041|8:sketch/house/0039|9:sketch/house/0026,2,2,2026-07-14T11:51:43.042Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,3,photo/person/0404,photo,person,/pacs/photo/person/0404.jpg,false,6,art_painting/person/0130,art_painting,person,/pacs/art_painting/person/0130.jpg,2044,false,,1:art_painting/person/0129|2:art_painting/person/0362|3:art_painting/person/0062|4:art_painting/person/0144|5:art_painting/person/0407|6:art_painting/person/0130|7:art_painting/person/0205|8:art_painting/person/0204|9:art_painting/person/0053,1,3,2026-07-14T11:51:44.843Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,3,photo/person/0404,photo,person,/pacs/photo/person/0404.jpg,false,5,art_painting/person/0407,art_painting,person,/pacs/art_painting/person/0407.jpg,2044,false,,1:art_painting/person/0129|2:art_painting/person/0362|3:art_painting/person/0062|4:art_painting/person/0144|5:art_painting/person/0407|6:art_painting/person/0130|7:art_painting/person/0205|8:art_painting/person/0204|9:art_painting/person/0053,2,3,2026-07-14T11:51:45.074Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,3,photo/person/0404,photo,person,/pacs/photo/person/0404.jpg,false,9,art_painting/person/0053,art_painting,person,/pacs/art_painting/person/0053.jpg,2044,false,,1:art_painting/person/0129|2:art_painting/person/0362|3:art_painting/person/0062|4:art_painting/person/0144|5:art_painting/person/0407|6:art_painting/person/0130|7:art_painting/person/0205|8:art_painting/person/0204|9:art_painting/person/0053,3,3,2026-07-14T11:51:45.362Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,4,photo/giraffe/0079,photo,giraffe,/pacs/photo/giraffe/0079.jpg,false,7,cartoon/giraffe/0214,cartoon,giraffe,/pacs/cartoon/giraffe/0214.jpg,2460,false,,1:cartoon/giraffe/0104|2:cartoon/giraffe/0045|3:cartoon/giraffe/0265|4:cartoon/giraffe/0070|5:cartoon/giraffe/0254|6:cartoon/giraffe/0100|7:cartoon/giraffe/0214|8:cartoon/giraffe/0305|9:cartoon/giraffe/0060,1,4,2026-07-14T11:51:46.763Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,4,photo/giraffe/0079,photo,giraffe,/pacs/photo/giraffe/0079.jpg,false,8,cartoon/giraffe/0305,cartoon,giraffe,/pacs/cartoon/giraffe/0305.jpg,2460,false,,1:cartoon/giraffe/0104|2:cartoon/giraffe/0045|3:cartoon/giraffe/0265|4:cartoon/giraffe/0070|5:cartoon/giraffe/0254|6:cartoon/giraffe/0100|7:cartoon/giraffe/0214|8:cartoon/giraffe/0305|9:cartoon/giraffe/0060,2,4,2026-07-14T11:51:47.003Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,4,photo/giraffe/0079,photo,giraffe,/pacs/photo/giraffe/0079.jpg,false,9,cartoon/giraffe/0060,cartoon,giraffe,/pacs/cartoon/giraffe/0060.jpg,2460,false,,1:cartoon/giraffe/0104|2:cartoon/giraffe/0045|3:cartoon/giraffe/0265|4:cartoon/giraffe/0070|5:cartoon/giraffe/0254|6:cartoon/giraffe/0100|7:cartoon/giraffe/0214|8:cartoon/giraffe/0305|9:cartoon/giraffe/0060,3,4,2026-07-14T11:51:47.291Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,4,photo/giraffe/0079,photo,giraffe,/pacs/photo/giraffe/0079.jpg,false,5,cartoon/giraffe/0254,cartoon,giraffe,/pacs/cartoon/giraffe/0254.jpg,2460,false,,1:cartoon/giraffe/0104|2:cartoon/giraffe/0045|3:cartoon/giraffe/0265|4:cartoon/giraffe/0070|5:cartoon/giraffe/0254|6:cartoon/giraffe/0100|7:cartoon/giraffe/0214|8:cartoon/giraffe/0305|9:cartoon/giraffe/0060,4,4,2026-07-14T11:51:47.659Z
42628b9b-623e-472a-b043-b01ef8ab102d,398029809,3,cross_domain,random_single,train,5,photo/person/0107,photo,person,/pacs/photo/person/0107.jpg,false,1,cartoon/person/0301,cartoon,person,/pacs/cartoon/person/0301.jpg,2569,false,,1:cartoon/person/0301|2:cartoon/person/0123|3:cartoon/person/0211|4:cartoon/person/0365|5:cartoon/person/0352|6:cartoon/person/0115|7:cartoon/person/0196|8:cartoon/person/0170|9:cartoon/person/0112,1,5,2026-07-14T11:51:49.283Z
